 0.00000E+00 1.63038E-01
 1.00000E+00 1.80257E+00
 2.00000E+00 2.27699E-01
 3.00000E+00 1.74599E+00
 4.00000E+00 2.76527E-01
 5.00000E+00 1.70464E+00
 6.00000E+00 3.10625E-01
 7.00000E+00 1.67760E+00
 8.00000E+00 3.30754E-01
 9.00000E+00 1.66427E+00
 1.00000E+01 3.37354E-01
 1.10000E+01 3.73456E-01
 1.20000E+01 2.66557E-01
 1.30000E+01 3.00384E-01
 1.40000E+01 1.95415E-01
 1.50000E+01 2.26934E-01
 1.60000E+01 1.23741E-01
 1.70000E+01 1.53005E-01
 1.80000E+01 5.15385E-02
 1.90000E+01 7.86951E-02
 2.00000E+01-4.20063E-02
